"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"

SBIN,EQ,02-Jan-2017,250.20,252.50,253.65,242.60,243.55,243.60,244.80,25988990,6362168368.75,164268,12078409,46.48
SBIN,EQ,03-Jan-2017,243.60,244.00,246.40,241.10,244.90,244.90,244.54,15963085,3903555799.20,112537,4370526,27.38
SBIN,EQ,04-Jan-2017,244.90,245.80,246.40,242.20,243.20,242.90,243.96,11225978,2738650550.15,91672,3632352,32.36
SBIN,EQ,05-Jan-2017,242.90,245.00,245.90,243.70,245.50,245.35,244.94,11970913,2932209489.65,88254,4511456,37.69
SBIN,EQ,06-Jan-2017,245.35,246.00,249.00,245.50,246.05,245.90,247.10,12354302,3052714076.30,75839,3393716,27.47
SBIN,EQ,09-Jan-2017,245.90,246.40,248.35,246.00,246.70,247.05,247.09,8329253,2058077249.10,96852,2615006,31.40
SBIN,EQ,10-Jan-2017,247.05,247.70,249.00,246.40,248.90,248.30,247.64,9352013,2315926868.15,61592,3888157,41.58
SBIN,EQ,11-Jan-2017,248.30,249.65,253.20,249.00,251.70,252.15,251.31,13415303,3371362587.25,88947,4496383,33.52
SBIN,EQ,12-Jan-2017,252.15,252.90,254.45,250.55,251.15,251.25,252.31,11282323,2846690712.10,79782,3565007,31.60
SBIN,EQ,13-Jan-2017,251.25,252.00,252.60,249.10,251.00,250.90,250.86,9333736,2341503042.75,61618,2870258,30.75
SBIN,EQ,16-Jan-2017,250.90,251.05,256.40,250.70,256.40,255.75,254.48,13234727,3367988752.65,103243,6268943,47.37
SBIN,EQ,17-Jan-2017,255.75,257.45,258.65,254.40,255.90,256.00,256.89,9480201,2435403298.50,78812,2606666,27.50
SBIN,EQ,18-Jan-2017,256.00,257.10,259.30,256.60,258.30,258.35,258.06,8048897,2077100556.30,67626,2556065,31.76
SBIN,EQ,19-Jan-2017,258.35,257.20,262.00,256.50,258.05,258.40,259.16,13029151,3376641376.60,90954,4631679,35.55
SBIN,EQ,20-Jan-2017,258.40,258.50,260.50,250.30,251.20,251.05,254.94,15341756,3911266792.50,130482,5848512,38.12
SBIN,EQ,23-Jan-2017,251.05,251.00,255.20,250.10,254.80,254.15,253.65,9339939,2369079645.00,68661,3291451,35.24
SBIN,EQ,24-Jan-2017,254.15,255.10,257.00,254.00,254.60,254.90,255.53,13540202,3459953788.85,67944,6203676,45.82
SBIN,EQ,25-Jan-2017,254.90,255.55,261.00,254.20,259.85,259.20,256.69,16343545,4195160280.20,100850,9274609,56.75
SBIN,EQ,27-Jan-2017,259.20,260.30,268.20,259.50,266.50,266.45,264.82,18039379,4777271422.35,141762,6528038,36.19
SBIN,EQ,30-Jan-2017,266.45,265.85,267.90,263.40,263.85,263.95,265.55,11884795,3155951480.40,81433,4484109,37.73
SBIN,EQ,31-Jan-2017,263.95,261.15,263.85,259.65,260.00,260.35,261.37,8899165,2325949623.15,58875,3298704,37.07
SBIN,EQ,01-Feb-2017,260.35,262.00,271.90,261.60,271.40,270.70,267.29,27253142,7284539234.90,162896,8648465,31.73
SBIN,EQ,02-Feb-2017,270.70,271.85,275.00,268.70,272.75,273.30,272.45,20139955,5487069791.20,115076,6787511,33.70
SBIN,EQ,03-Feb-2017,273.30,273.00,278.55,272.00,278.10,277.55,276.42,15366890,4247716104.60,96972,5823909,37.90
SBIN,EQ,06-Feb-2017,277.55,280.00,282.50,276.00,276.55,277.05,279.46,14725291,4115106422.50,86870,4007676,27.22
SBIN,EQ,07-Feb-2017,277.05,277.85,280.00,276.30,277.60,277.90,278.05,10981984,3053553686.80,71911,3158033,28.76
SBIN,EQ,08-Feb-2017,277.90,278.10,279.25,272.60,278.70,277.20,276.47,13622088,3766103560.95,80900,4651632,34.15
SBIN,EQ,09-Feb-2017,277.20,278.80,280.30,270.85,276.10,275.85,275.19,16080181,4425094459.25,103265,4702318,29.24
SBIN,EQ,10-Feb-2017,275.85,278.75,282.80,275.00,275.20,276.35,279.51,37580487,10504277248.65,229689,7610992,20.25
SBIN,EQ,13-Feb-2017,276.35,277.80,278.25,270.20,271.50,271.65,272.68,19853043,5413464500.60,131249,7859215,39.59
SBIN,EQ,14-Feb-2017,271.65,272.00,273.00,268.10,269.60,270.20,270.61,13306738,3600976496.35,80457,4723961,35.50
